"detail","freq","target","sort"
"лікер",41,"віскі",364
"кава розчинна",33,"віскі",364
"коньяк",32,"віскі",364
"ікра червона",23,"віскі",364
"ковбаса",12,"віскі",364
"шоколад",10,"віскі",364
"горілка",9,"віскі",364
"сир твердий",8,"віскі",364
"ром",6,"віскі",364
"пиво",5,"віскі",364
"ковбаса",75,"шоколад",287
"кава розчинна",41,"шоколад",287
"коньяк",29,"шоколад",287
"сир твердий",27,"шоколад",287
"батончик",24,"шоколад",287
"масло вершкове",23,"шоколад",287
"ікра червона",21,"шоколад",287
"сир плавлений",20,"шоколад",287
"цукерки",19,"шоколад",287
"горілка",13,"шоколад",287
"шоколад",64,"ковбаса",257
"сир твердий",46,"ковбаса",257
"кава розчинна",43,"ковбаса",257
"ікра червона",41,"ковбаса",257
"коньяк",35,"ковбаса",257
"горілка",34,"ковбаса",257
"масло вершкове",31,"ковбаса",257
"цукерки",25,"ковбаса",257
"сир плавлений",24,"ковбаса",257
"чай чорний",18,"ковбаса",257
"шоколад",44,"ікра червона",243
"ковбаса",38,"ікра червона",243
"віскі",21,"ікра червона",243
"горілка",13,"ікра червона",243
"сир твердий",13,"ікра червона",243
"коньяк",10,"ікра червона",243
"кава розчинна",10,"ікра червона",243
"сир плавлений",9,"ікра червона",243
"вино",8,"ікра червона",243
"лікер",8,"ікра червона",243
"ковбаса",56,"коньяк",231
"віскі",31,"коньяк",231
"кава розчинна",28,"коньяк",231
"шоколад",22,"коньяк",231
"лікер",19,"коньяк",231
"ікра червона",18,"коньяк",231
"бренді",16,"коньяк",231
"напій енергетичний",14,"коньяк",231
"цукерки",13,"коньяк",231
"батончик",13,"коньяк",231
"ковбаса",59,"кава розчинна",230
"шоколад",43,"кава розчинна",230
"коньяк",34,"кава розчинна",230
"віскі",27,"кава розчинна",230
"сир твердий",22,"кава розчинна",230
"масло вершкове",16,"кава розчинна",230
"цукерки",15,"кава розчинна",230
"ікра червона",14,"кава розчинна",230
"чай чорний",13,"кава розчинна",230
"шампунь",12,"кава розчинна",230
"віскі",57,"лікер",157
"коньяк",24,"лікер",157
"ікра червона",14,"лікер",157
"кава розчинна",8,"лікер",157
"шоколад",8,"лікер",157
"ковбаса",8,"лікер",157
"шкарпетки",5,"лікер",157
"цукерки",4,"лікер",157
"молоко згущене",4,"лікер",157
