"товар","x","y","freq","thefts_amount"
"мʼясо",13,6,5,3
"субпродукти",13,6,2,3
"солодощі",13,6,9,3
"сир",13,6,4,3
"молочка",13,6,6,3
"косметика",13,6,2,3
"кава",1,1,53,503
"кава",2,1,86,230
"кава",6,2,8,13
"косметика",6,2,4,13
"алкоголь",1,1,350,503
"ковбаса",5,1,25,21
"ковбаса",4,1,24,64
"алкоголь",2,1,238,230
"майно АТБ",1,1,9,503
"DVD-програвач",1,1,2,503
"солодощі",4,1,68,64
"солодощі",3,1,39,83
"солодощі",9,1,45,9
"ікра",2,2,15,49
"консерви рибні",2,2,4,49
"ковбаса",2,2,9,49
"алкоголь",2,2,31,49
"ікра",2,1,76,230
"ікра",4,1,36,64
"алкоголь",4,1,52,64
"косметика",12,4,4,1
"побутова хімія",12,4,3,1
"напої",12,4,1,1
"сир",12,4,4,1
"алкоголь",3,1,84,83
"алкоголь",20,3,4,1
"солодощі",20,3,13,1
"молочка",20,3,3,1
"алкоголь",5,3,8,14
"мʼясо",5,3,7,14
"ковбаса",5,3,11,14
"солодощі",11,1,44,6
"солодощі",13,1,13,1
"солодощі",8,1,40,8
"солодощі",6,1,36,17
"солодощі",43,3,5,1
"кава",43,3,1,1
"спеції",43,3,37,1
"товари для тварин",8,6,1,2
"ікра",8,6,1,2
"ковбаса",8,6,4,2
"солодощі",8,6,2,2
"морепродукти",8,6,1,2
"консерви рибні",8,6,1,2
"алкоголь",5,2,18,13
"майно АТБ",5,2,1,13
"напої",1,1,1,503
"ікра",1,1,25,503
"косметика",1,1,16,503
"косметика",2,1,28,230
"алкоголь",4,2,24,28
"ікра",4,2,14,28
"дитячі товари",3,2,4,42
"солодощі",3,2,20,42
"кава",2,2,9,49
"кава",4,3,8,19
"алкоголь",4,3,18,19
"косметика",4,3,5,19
"алкоголь",5,4,3,5
"ковбаса",5,4,2,5
"яйця",5,4,1,5
"сир",5,4,4,5
"ікра",6,1,18,17
"косметика",5,1,10,21
"молочка",25,2,24,1
"косметика",25,2,1,1
"алкоголь",13,2,3,2
"солодощі",13,2,10,2
"солодощі",5,3,15,14
"алкоголь",9,9,1,1
"напої",9,9,1,1
"консерви овочеві",9,9,1,1
"ковбаса",9,9,1,1
"молочка",9,9,1,1
"снеки",9,9,1,1
"хліб",9,9,1,1
"соус",9,9,1,1
"спеції",9,9,1,1
"одяг",9,3,7,3
"техніка",9,3,1,3
"інструменти",9,3,1,3
"алкоголь",24,1,24,3
"алкоголь",12,1,12,6
"алкоголь",3,3,12,25
"мʼясо",3,3,2,25
"ікра",3,3,7,25
"напої",8,4,1,6
"ковбаса",8,4,6,6
"молочка",8,4,6,6
"солодощі",8,4,10,6
"кава",3,1,33,83
"ікра",3,1,48,83
"риба солона",3,1,6,83
"побутова хімія",202,6,88,1
"одяг",202,6,24,1
"дитячі товари",202,6,6,1
"снеки",202,6,16,1
"косметика",202,6,52,1
"солодощі",202,6,16,1
"косметика",24,1,48,3
"косметика",2,2,7,49
"солодощі",40,1,40,1
"алкоголь",3,2,32,42
"солодощі",15,1,15,1
"консерви мʼясні",13,3,3,2
"консерви рибні",13,3,11,2
"товари для тварин",13,3,8,2
"косметика",3,2,4,42
"техніка",3,2,3,42
"алкоголь",5,1,30,21
"взуття",1,1,4,503
"ікра",3,2,29,42
"фрукти",21,9,2,1
"алкоголь",21,9,3,1
"олія",21,9,1,1
"напої",21,9,2,1
"напівфабрикати",21,9,5,1
"солодощі",21,9,2,1
"ковбаса",21,9,2,1
"консерви овочеві",21,9,3,1
"консерви мʼясні",21,9,1,1
"хліб",17,10,1,1
"алкоголь",17,10,3,1
"олія",17,10,1,1
"напої",17,10,1,1
"консерви овочеві",17,10,1,1
"консерви мʼясні",17,10,1,1
"консерви рибні",17,10,4,1
"спеції",17,10,1,1
