id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
78989687,мʼясо та м'ясні продукти,фарш індика,,06.07.2018,,1,540,,31.46,31.46,Женя,,
78989687,субпродукти,печінка із серцем,,06.07.2018,,1,556,,28.88,28.88,Женя,,
78989687,субпродукти,печінка із серцем,,06.07.2018,,1,560,,29.09,29.09,Женя,,
78989687,мʼясо та м'ясні продукти,курка,,06.07.2018,,1,252,,41.07,41.07,Женя,,
78989687,солодощі,шоколад,,06.07.2018,,1,180,,10.00,10.00,Женя,,
78989687,сир,сир плавлений,,06.07.2018,,2,,,6.00,12.00,Женя,,
78989687,молочна продукція,десерт сирковий,,06.07.2018,,2,,,6.10,12.20,Женя,,
78989687,солодощі,шоколад,,06.07.2018,,1,,,10.90,10.90,Женя,,
78989687,солодощі,драже,Своя Лінія,06.07.2018,,1,80,,6.20,6.20,Женя,,
78989687,косметика,дезодорант,Rexona,06.07.2018,,1,,,37.90,37.90,Женя,,
78989687,мʼясо та м'ясні продукти,мʼясні продукти,,06.07.2018,,1,420,,28.60,28.60,Женя,yes,мати малолітньої
78988700,кава,кава розчинна,Jacobs Monarch,07.11.2018,,1,400,,297.90,,Женя,yes,мати малолітньої
78988700,кава,кава розчинна,Jacobs Monarch,22.11.2018,,2,400,,297.90,595.80,Женя,yes,мати малолітньої
78988700,кава,кава розчинна,Jacobs Monarch,25.11.2018,,1,400,,297.90,,Женя,yes,мати малолітньої
78988700,кава,кава розчинна,Lavazza,25.11.2018,,1,250,,102.90,,Женя,yes,мати малолітньої
78988700,кава,кава розчинна,Jacobs Monarch,25.11.2018,,2,200,,137.40,,Женя,yes,мати малолітньої
78988700,косметика,шампунь,Head&Shoulders,25.11.2018,,2,400,,92.80,185.60,Женя,yes,мати малолітньої
79020560,алкоголь,горілка,Козацька Рада,12.09.2018,,1,,0.7,220.28,220.28,Женя,,
79023354,ковбаса та ковбасні вироби,ковбаса,Добров,08.02.2018,,1,480,,126.66,,Женя,,
79023354,ковбаса та ковбасні вироби,ковбаса,Добров,08.02.2018,,1,260,,75.91,,Женя,,
79023354,ковбаса та ковбасні вироби,ковбаса,Добров,08.02.2018,,1,210,,56.69,,Женя,,
79023354,ковбаса та ковбасні вироби,буженина,Своя Лінія,08.02.2018,,1,298,,47.08,,Женя,,
79023354,ковбаса та ковбасні вироби,балик,Своя Лінія,08.02.2018,,1,391,,71.55,,Женя,,
79023354,ковбаса та ковбасні вироби,ковбаса,Добров,01.03.2018,,1,280,,52.50,,Женя,,
79023354,ковбаса та ковбасні вироби,ковбаса,Добров,01.03.2018,,1,280,,52.50,,Женя,,
79023354,ковбаса та ковбасні вироби,балик,Добров,01.03.2018,,1,226,,79.55,,Женя,,
79023354,ковбаса та ковбасні вироби,балик,Добров,01.03.2018,,1,220,,77.44,,Женя,,
79037146,NA,,,,,,,,,,Женя,,
79063114,NA,,,,,,,,,,Женя,,
79063505,алкоголь,віскі,Jack Daniels,03.11.2018,,1,,0.5,339.00,,Женя,,
79063505,алкоголь,віскі,Glenfiddich,03.11.2018,,1,,0.5,908.33,,Женя,,
79064464,алкоголь,коньяк,Hennessy,04.11.2017,,1,,0.5,842.09,,Женя,,
79064464,алкоголь,коньяк,Hennessy,03.04.2018,,1,,0.5,780.67,,Женя,,
